row_index,rho,p_value,p_adjusted,ensembl_gene_id,gene_symbol,gene_type
804,0.004059398541130833,0.9587297157119201,0.9892789767362845,ENSG00000059758.8,CDK17,protein_coding
11390,0.004049152709376339,0.9588337892532699,0.9892789767362845,ENSG00000164615.6,CAMLG,protein_coding
8971,-0.00402661187951645,0.9590627534887399,0.9892789767362845,ENSG00000147439.13,BIN3,protein_coding
37274,-0.00402661187951645,0.9590627534887399,0.9892789767362845,ENSG00000244617.2,ASPRV1,protein_coding
19914,-0.0040245627131655515,0.9590835685854305,0.9892789767362845,ENSG00000204560.10,DHX16,protein_coding
359,0.004012267715060158,0.959208459745482,0.9892789767362845,ENSG00000015413.9,DPEP1,protein_coding
6999,-0.00400816938235836,0.9592500903527462,0.9892789767362845,ENSG00000135046.14,ANXA1,protein_coding
4177,-0.004006120216007461,0.959270905697674,0.9892789767362845,ENSG00000113387.12,SUB1,protein_coding
37232,-0.004006120216007461,0.959270905697674,0.9892789767362845,ENSG00000244509.4,APOBEC3C,protein_coding
8081,0.004002021883305663,0.9593125364700508,0.9892789767362845,ENSG00000141294.10,LRRC46,protein_coding
3159,-0.003975382720743976,0.9595831391651382,0.9892789767362845,ENSG00000105664.11,COMP,protein_coding
8102,0.00396923522169128,0.9596455865972788,0.9892789767362845,ENSG00000141429.13,GALNT1,protein_coding
23216,0.003967186055340381,0.9596664024625292,0.9892789767362845,ENSG00000215704.10,CELA2B,protein_coding
5626,0.003965719611733313,0.959681298923611,0.9892789767362845,ENSG00000125285.6,SOX21,protein_coding
15288,-0.003965136888989482,0.9596872183550247,0.9892789767362845,ENSG00000182621.18,PLCB1,protein_coding
10993,-0.00394874355818229,0.9598537464741245,0.9892789767362845,ENSG00000163399.16,ATP1A1,protein_coding
31098,0.003946694391831391,0.9598745626111935,0.9892789767362845,ENSG00000232888.4,RPS11P5,processed_pseudogene
17242,-0.003944645225480492,0.959895378775367,0.9892789767362845,ENSG00000196873.16,CBWD3,protein_coding
21733,-0.003926202728322402,0.9600827254703225,0.9892789767362845,ENSG00000211943.2,IGHV3-15,IG_V_gene
25074,0.003924153561971503,0.9601035419047703,0.9892789767362845,ENSG00000224032.7,EPB41L4A-AS1,lncRNA
3986,-0.003920055229269704,0.960145174854503,0.9892789767362845,ENSG00000111962.8,UST,protein_coding
5376,0.003915956896567907,0.9601868079119242,0.9892789767362845,ENSG00000123384.14,LRP1,protein_coding
57863,0.003913910344161689,0.9602075979270651,0.9892789767362845,ENSG00000285128.1,AC092306.1,lncRNA
6916,-0.003913907730217008,0.9602076244809831,0.9892789767362845,ENSG00000134531.10,EMP1,protein_coding
3123,0.003911869014202014,0.9602283349164045,0.9892789767362845,ENSG00000105509.11,HAS1,protein_coding
4166,0.0039077602311643105,0.9602700743493832,0.9892789767362845,ENSG00000113312.11,TTC1,protein_coding
17082,-0.003897514399409816,0.9603741579999546,0.9892789767362845,ENSG00000196387.9,ZNF140,protein_coding
4911,-0.00388931773400622,0.9604574254023149,0.9892789767362845,ENSG00000119522.16,DENND1A,protein_coding
14621,0.0038872685676553213,0.960478242319719,0.9892789767362845,ENSG00000179134.15,SAMD4B,protein_coding
9942,0.0038831702349535232,0.9605198762346057,0.9892789767362845,ENSG00000156127.8,BATF,protein_coding
5686,0.0038811210686026244,0.96054069323206,0.9892789767362845,ENSG00000125656.11,CLPP,protein_coding
13772,-0.003880122399295662,0.9605508384875736,0.9892789767362845,ENSG00000174899.12,SLC66A1L,transcribed_unitary_pseudogene
15758,-0.0038790719022517256,0.9605615102561701,0.9892789767362845,ENSG00000184557.4,SOCS3,protein_coding
20101,-0.0038790719022517256,0.9605615102561701,0.9892789767362845,ENSG00000205084.11,TMEM231,protein_coding
6951,-0.0038770227359008268,0.9605823273069214,0.9892789767362845,ENSG00000134758.14,RNF138,protein_coding
7005,0.003860629405093635,0.9607488646703356,0.9892789767362845,ENSG00000135069.14,PSAT1,protein_coding
9668,-0.003860629405093635,0.9607488646703356,0.9892789767362845,ENSG00000153574.9,RPIA,protein_coding
4666,0.003858580238742736,0.9607696819602272,0.9892789767362845,ENSG00000117115.13,PADI2,protein_coding
50646,-0.003858580238742736,0.9607696819602272,0.9892789767362845,ENSG00000270547.6,LINC01235,lncRNA
243,-0.003854481906040938,0.9608113166194995,0.9892789767362845,ENSG00000009950.16,MLXIPL,protein_coding
7023,0.0038401377415846452,0.9609570387601105,0.9892789767362845,ENSG00000135148.12,TRAFD1,protein_coding
17122,-0.0038380885752337464,0.9609778563143799,0.9892789767362845,ENSG00000196476.12,C20orf96,protein_coding
10752,-0.0038339902425319483,0.9610194915019864,0.9892789767362845,ENSG00000162542.13,TMCO4,protein_coding
217,-0.0038319410761810495,0.9610403091352955,0.9892789767362845,ENSG00000008382.16,MPND,protein_coding
6242,-0.0038278427434792514,0.9610819444808545,0.9892789767362845,ENSG00000130303.13,BST2,protein_coding
5036,-0.00381144941267206,0.9612484869135817,0.9893550270581233,ENSG00000120322.4,PCDHB8,protein_coding
2879,-0.003809400246321161,0.961269304835621,0.9893550270581233,ENSG00000104140.7,RHOV,protein_coding
17931,-0.0037909577491630703,0.961456667309669,0.9894894592385468,ENSG00000198899.2,MT-ATP6,protein_coding
2444,0.0037725152520049795,0.961644031892762,0.9896083213946014,ENSG00000101134.12,DOK5,protein_coding
4024,-0.003768416919303182,0.9616856687521662,0.9896083213946014,ENSG00000112218.9,GPR63,protein_coding
10002,0.003760220253899586,0.9617689427814605,0.9896356104850895,ENSG00000156587.16,UBE2L6,protein_coding
8285,0.003749974422145091,0.961873035899079,0.989684317399672,ENSG00000142856.17,ITGB3BP,protein_coding
11014,0.0037356302576887985,0.9620187673451348,0.9897097965732036,ENSG00000163481.8,RNF25,protein_coding
15975,0.0037294827586361015,0.9620812240643161,0.9897097965732036,ENSG00000185420.19,SMYD3,protein_coding
19922,0.003725384425934304,0.9621228620052086,0.9897097965732036,ENSG00000204577.11,LILRB3,protein_coding
7702,0.003719236926881607,0.9621853191084236,0.9897097965732036,ENSG00000138658.16,ZGRF1,protein_coding
30313,-0.003715138594179809,0.9622269573049876,0.9897097965732036,ENSG00000231731.7,AC010976.1,lncRNA
4606,-0.003711040261478011,0.9622685956036237,0.9897097965732036,ENSG00000116717.13,GADD45A,protein_coding
8912,0.0037048927624253143,0.9623310532427167,0.9897097965732036,ENSG00000147050.16,KDM6A,protein_coding
11561,0.003702843596074415,0.9623518725066621,0.9897097965732036,ENSG00000165271.17,NOL6,protein_coding
4089,0.0036884994316181224,0.9624976080656371,0.9897429257439708,ENSG00000112655.16,PTK7,protein_coding
11537,0.0036884994316181224,0.9624976080656371,0.9897429257439708,ENSG00000165175.16,MID1IP1,protein_coding
7678,0.003676204433512729,0.962622525247308,0.9897604993592645,ENSG00000138495.7,COX17,protein_coding
6192,0.003672106100810931,0.9626641645100241,0.9897604993592645,ENSG00000129968.17,ABHD17A,protein_coding
1661,0.003670056934460032,0.9626849841792238,0.9897604993592645,ENSG00000085514.16,PILRA,protein_coding
16451,0.003659811102705537,0.9627890829030761,0.9897664762640463,ENSG00000187479.8,C11orf96,protein_coding
5891,-0.003654690627650457,0.9628411077016295,0.9897664762640463,ENSG00000127129.10,EDN2,protein_coding
59739,0.003652724404262008,0.9628610848693593,0.9897664762640463,ENSG00000287335.1,AL139351.3,lncRNA
4071,-0.0036413686055474467,0.9629764621885739,0.9898035084666944,ENSG00000112511.18,PHF1,protein_coding
38591,0.003627024441091154,0.9631222030340674,0.9898035084666944,ENSG00000249740.3,OSMR-AS1,lncRNA
8813,0.003622926108389356,0.9631638435000741,0.9898035084666944,ENSG00000146216.13,TTBK1,protein_coding
21522,0.003618827775687558,0.9632054840656246,0.9898035084666944,ENSG00000211662.2,IGLV3-21,IG_V_gene
323,-0.003616778609336659,0.9632263043856936,0.9898035084666944,ENSG00000012963.15,UBR7,protein_coding
5730,0.00361472944298576,0.9632471247306066,0.9898035084666944,ENSG00000125835.19,SNRPB,protein_coding
8088,0.003604483611231265,0.9633512268273368,0.9898035084666944,ENSG00000141349.8,G6PC3,protein_coding
54589,0.003604483611231265,0.9633512268273368,0.9898035084666944,ENSG00000277978.1,AC010542.5,lncRNA
5266,0.0035921886131258718,0.9634761501603234,0.9898579938633534,ENSG00000122482.21,ZNF644,protein_coding
5427,-0.0035880902804240737,0.9635177914688706,0.9898579938633534,ENSG00000123870.10,ZNF137P,transcribed_unprocessed_pseudogene
53486,0.003571696949616882,0.963684357687823,0.9899047793025734,ENSG00000275764.1,AC092747.4,lncRNA
23621,0.003561451117862387,0.9637884623725053,0.9899047793025734,ENSG00000218891.5,ZNF579,protein_coding
12492,-0.003557352785160589,0.9638301044177283,0.9899047793025734,ENSG00000169021.6,UQCRFS1,protein_coding
627,0.0035512052861078926,0.9638925676688012,0.9899047793025734,ENSG00000047621.12,C12orf4,protein_coding
2090,0.0035450577870551957,0.9639550311394227,0.9899047793025734,ENSG00000099326.9,MZF1,protein_coding
225,0.0035409594543533976,0.9639966735749547,0.9899047793025734,ENSG00000008710.20,PKD1,protein_coding
10896,0.0035409594543533976,0.9639966735749547,0.9899047793025734,ENSG00000163032.12,VSNL1,protein_coding
15286,0.0035389102880024987,0.9640174948292137,0.9899047793025734,ENSG00000182612.10,TSPAN10,protein_coding
4559,0.003530713622598903,0.9641007800892096,0.9899320046175686,ENSG00000116273.6,PHF13,protein_coding
105,-0.003508172792739014,0.9643298165524344,0.9901088742404051,ENSG00000005801.18,ZNF195,protein_coding
17379,-0.003475386131124631,0.9646629656993302,0.9903556789256892,ENSG00000197321.15,SVIL,protein_coding
10276,-0.003473336964773732,0.9646837877245416,0.9903556789256892,ENSG00000158869.11,FCER1G,protein_coding
2325,0.0034610419666683385,0.9648087203763867,0.990367319550424,ENSG00000100490.9,CDKL1,protein_coding
15930,0.0034610419666683385,0.9648087203763867,0.990367319550424,ENSG00000185246.18,PRPF39,protein_coding
8730,-0.0034548944676156415,0.9648711870234767,0.9903731391646081,ENSG00000145715.15,RASA1,protein_coding
20003,-0.003445513166461873,0.9649665137496088,0.9904126846931502,ENSG00000204787.8,REG1CP,transcribed_unprocessed_pseudogene
3418,-0.0034385011368084496,0.9650377657923157,0.99042751748797,ENSG00000107443.16,CCNJ,protein_coding
6250,0.00341800947329946,0.965245991378464,0.9905236334835764,ENSG00000130332.15,LSM7,protein_coding
53110,-0.00341800947329946,0.965245991378464,0.9905236334835764,ENSG00000275004.4,ZNF280B,protein_coding
35651,-0.003412513853731334,0.9653018353952179,0.9905236334835764,ENSG00000240671.4,IGKV1-8,IG_V_gene
56472,0.0033975178097904704,0.9654542193127197,0.9906217030808457,ENSG00000281490.1,CICP14,processed_pseudogene
2041,-0.003385222811685077,0.9655791571945194,0.9906437576476242,ENSG00000095752.7,IL11,protein_coding
36880,-0.0033842208304392845,0.9655893390479452,0.9906437576476242,ENSG00000243709.1,LEFTY1,protein_coding
16645,-0.0033770261462814813,0.9656624495810315,0.9906604773397921,ENSG00000188185.13,LINC00265,lncRNA
